"","GAME_ID","Date","Team","Score","AtB","1B","2B","3B","Hr","RBI","SH","SF","HP","W","IW","SO","SB","CS","GDP","AFCI","LB","PU","IER","TER","WP","B","PO","A","E","PB","DP","TP"
"1807","ANA201608190",20160819,"NYA",7,41,15,4,0,4,7,0,0,0,1,0,4,1,0,1,0,8,4,0,0,0,0,27,10,0,0,0,0
"1822","ANA201608200",20160820,"NYA",5,36,8,2,0,1,5,0,0,0,1,0,7,1,0,0,0,5,4,1,1,1,0,27,11,0,0,0,0
"1837","ANA201608210",20160821,"NYA",0,32,6,1,0,0,0,0,0,0,3,0,8,1,0,1,0,8,3,2,2,0,0,24,5,0,0,0,0
"1947","ANA201608290",20160829,"CIN",2,34,8,1,0,1,2,0,0,0,1,0,9,1,0,1,0,6,3,9,9,1,0,24,11,0,0,1,0
"1960","ANA201608300",20160830,"CIN",2,37,11,2,0,1,2,0,0,0,1,0,9,1,1,0,0,9,2,4,4,0,0,24,10,0,0,2,0
"1974","ANA201608310",20160831,"CIN",0,29,4,1,0,0,0,1,0,0,0,0,7,0,0,1,0,3,2,3,3,0,0,24,11,0,0,0,0
"2091","ANA201609090",20160909,"TEX",2,34,8,2,0,1,2,0,0,0,4,0,9,1,0,1,0,9,3,1,1,1,0,27,11,0,0,0,0
"2106","ANA201609100",20160910,"TEX",8,38,12,1,1,3,7,1,0,2,2,0,8,0,0,0,0,8,5,5,5,1,1,27,15,1,0,0,0
"2121","ANA201609110",20160911,"TEX",2,31,5,0,0,2,2,0,0,0,2,0,12,1,1,0,0,4,3,3,3,0,0,24,10,0,0,1,0
"2136","ANA201609120",20160912,"SEA",8,39,11,3,0,2,6,0,0,1,2,0,4,0,0,0,0,7,5,1,1,0,0,27,9,1,1,2,0
"2151","ANA201609130",20160913,"SEA",8,36,10,2,0,3,8,0,1,0,3,0,5,1,0,1,0,5,1,0,0,0,0,27,13,1,0,1,0
"2166","ANA201609140",20160914,"SEA",2,33,6,0,0,2,2,0,0,1,0,0,7,1,0,0,0,5,4,1,1,1,0,27,12,0,0,1,0
"2181","ANA201609150",20160915,"TOR",7,33,10,3,0,1,7,0,1,0,6,0,8,0,1,2,0,6,4,1,1,0,0,27,11,1,0,0,0
"2191","ANA201609160",20160916,"TOR",5,33,10,1,0,2,5,0,1,0,7,0,5,0,0,2,0,9,5,0,0,1,0,27,4,0,0,0,0
"2206","ANA201609170",20160917,"TOR",1,35,10,1,0,0,1,0,1,1,3,0,9,2,0,1,0,12,3,2,2,1,0,24,14,3,0,3,0
"2222","ANA201609180",20160918,"TOR",0,29,4,2,0,0,0,0,0,0,5,0,12,0,0,2,0,7,6,4,4,0,0,24,10,1,0,0,0
"2332","ANA201609260",20160926,"OAK",1,30,4,1,0,1,1,0,0,0,2,0,4,1,0,1,0,4,2,2,2,0,0,24,16,0,0,1,0
"2342","ANA201609270",20160927,"OAK",1,30,6,1,0,0,1,0,0,0,3,0,4,0,1,3,0,5,3,8,8,0,0,24,17,1,0,1,0
"2357","ANA201609280",20160928,"OAK",6,36,9,3,1,2,6,0,0,0,2,0,10,0,0,0,0,5,5,7,7,0,0,24,10,2,0,0,0
"2383","ANA201609300",20160930,"HOU",1,33,8,1,0,0,1,0,0,1,1,0,10,0,0,2,0,7,3,5,5,1,0,24,10,1,0,0,0
"2398","ANA201610010",20161001,"HOU",3,36,10,3,0,0,3,0,0,0,5,0,5,3,0,0,0,11,3,0,0,0,0,27,10,0,0,0,0
"2413","ANA201610020",20161002,"HOU",1,32,7,1,0,0,1,0,1,0,1,0,8,0,0,1,0,6,5,8,8,0,0,24,5,0,1,0,0
"8","ARI201604040",20160404,"COL",10,42,15,4,0,4,10,0,0,1,4,0,7,1,0,0,0,10,5,5,5,1,0,27,7,0,0,1,0
"20","ARI201604050",20160405,"COL",6,35,9,2,0,3,6,0,0,0,1,0,2,0,0,1,0,3,3,11,11,0,0,24,5,0,0,0,0
"31","ARI201604060",20160406,"COL",4,32,8,0,0,3,4,0,0,0,0,0,7,0,2,1,0,1,5,2,2,0,0,27,12,1,0,0,0
"42","ARI201604070",20160407,"CHN",14,41,14,3,2,1,11,0,0,1,10,0,5,1,0,0,0,11,4,6,6,0,0,27,8,0,0,1,0
"53","ARI201604080",20160408,"CHN",2,30,5,2,0,0,2,0,0,1,4,0,6,0,0,1,0,6,5,3,3,0,0,26,12,1,0,1,0
"66","ARI201604090",20160409,"CHN",4,35,10,4,0,0,4,0,1,1,5,1,10,0,0,2,0,11,3,2,2,1,0,27,12,0,0,0,0
"78","ARI201604100",20160410,"CHN",7,37,12,2,0,2,7,0,1,1,5,1,11,1,0,1,0,10,3,3,3,0,0,27,13,0,0,0,0
"238","ARI201604220",20160422,"PIT",8,36,13,4,0,3,8,1,0,0,2,0,3,0,0,3,0,4,4,5,5,0,0,27,13,1,0,2,0
"253","ARI201604230",20160423,"PIT",1,30,4,1,0,1,1,0,0,2,2,0,7,0,1,0,0,6,4,6,6,0,0,24,11,1,0,0,0
"268","ARI201604240",20160424,"PIT",12,55,20,7,1,0,11,1,0,0,8,1,17,0,0,2,0,13,7,10,10,1,0,39,14,0,0,0,0
"283","ARI201604250",20160425,"SLN",7,35,11,0,3,2,7,2,0,0,1,0,5,0,0,1,0,4,5,10,10,1,0,24,16,1,2,2,0
"296","ARI201604260",20160426,"SLN",8,35,11,2,0,2,8,1,1,0,6,1,7,0,0,1,0,8,2,2,2,0,0,27,14,0,0,1,0
"312","ARI201604270",20160427,"SLN",11,41,14,2,1,1,11,0,0,0,7,0,7,1,0,1,0,10,4,4,4,0,0,27,10,1,0,2,0
"321","ARI201604280",20160428,"SLN",0,30,3,1,0,0,0,0,0,0,3,0,11,0,0,1,0,6,2,3,3,1,0,24,9,0,0,1,0
