"","GAME_ID","Date","Team","Score","AtB","1B","2B","3B","Hr","RBI","SH","SF","HP","W","IW","SO","SB","CS","GDP","AFCI","LB","PU","IER","TER","WP","B","PO","A","E","PB","DP","TP"
"2023","ARI201009040",20100904,"HOU",6,34,8,2,1,1,5,0,0,0,3,0,6,1,0,0,0,4,5,5,5,0,0,27,7,0,0,0,0
"2038","ARI201009050",20100905,"HOU",3,30,6,0,1,1,3,1,0,0,2,0,8,0,1,1,0,3,3,2,2,0,0,27,11,0,0,1,0
"2053","ARI201009060",20100906,"SFN",2,38,8,0,1,0,2,1,0,1,2,0,8,0,0,1,0,7,7,0,0,0,0,33,6,0,0,0,0
"2069","ARI201009070",20100907,"SFN",6,36,9,4,0,3,6,0,0,0,1,0,2,0,0,0,0,4,4,3,3,0,0,27,10,0,0,1,0
"2084","ARI201009080",20100908,"SFN",1,33,7,1,0,1,1,0,0,0,2,0,4,1,0,1,0,7,4,3,3,0,0,24,9,1,0,2,0
"2252","ARI201009210",20100921,"COL",1,32,6,2,0,0,1,0,0,1,0,0,9,0,0,1,0,5,2,3,3,0,0,24,8,1,0,1,0
"2267","ARI201009220",20100922,"COL",4,33,7,2,0,2,4,0,0,0,3,0,9,1,0,1,0,5,6,8,8,1,0,24,5,0,1,1,0
"2279","ARI201009230",20100923,"COL",9,31,8,0,0,1,9,1,1,0,9,0,6,2,0,1,0,6,6,10,10,0,0,24,4,1,0,0,0
"2292","ARI201009240",20100924,"LAN",3,29,6,0,2,1,3,1,1,1,3,0,3,0,0,2,0,5,2,1,1,0,0,27,3,1,0,0,0
"2307","ARI201009250",20100925,"LAN",2,28,3,1,0,0,2,1,0,1,2,0,6,0,0,1,0,3,3,5,5,0,0,24,11,0,0,4,0
"2322","ARI201009260",20100926,"LAN",4,38,11,2,0,1,4,0,0,0,2,0,8,0,0,1,0,9,4,5,5,0,0,24,5,0,0,0,0
"7","ATL201004050",20100405,"CHN",5,30,5,1,0,2,5,0,0,0,3,0,7,0,0,0,0,1,6,14,14,0,0,24,8,2,0,0,0
"29","ATL201004070",20100407,"CHN",2,31,7,1,0,0,1,0,1,0,3,0,7,1,0,2,0,6,4,3,3,0,0,24,8,0,0,0,0
"42","ATL201004080",20100408,"CHN",2,30,4,0,0,2,2,1,0,0,3,0,9,0,0,0,0,5,5,0,0,0,0,27,15,1,0,3,0
"147","ATL201004160",20100416,"COL",5,35,9,3,0,1,5,0,0,0,4,0,11,0,1,1,0,7,5,9,9,1,0,24,11,0,1,2,0
"162","ATL201004170",20100417,"COL",4,34,9,3,0,0,4,0,1,0,3,0,5,0,0,1,0,7,1,0,0,0,1,27,8,0,0,1,0
"177","ATL201004180",20100418,"COL",3,30,5,1,0,2,3,1,0,0,3,0,10,1,0,1,0,4,5,4,4,1,1,26,9,0,0,0,0
"201","ATL201004200",20100420,"PHI",3,38,9,3,0,0,3,0,0,0,2,0,8,0,1,1,0,7,3,4,4,0,0,27,17,0,1,2,0
"216","ATL201004210",20100421,"PHI",2,34,7,5,0,0,2,0,0,1,2,2,8,0,0,0,0,8,1,0,0,0,0,27,13,0,0,1,0
"228","ATL201004220",20100422,"PHI",8,37,12,1,0,0,7,1,2,0,5,0,8,0,0,0,0,10,4,1,1,0,0,27,10,2,0,1,0
"337","ATL201004300",20100430,"HOU",2,29,4,0,0,0,2,0,0,1,1,0,7,0,0,2,0,2,3,3,3,0,0,24,11,2,0,1,0
"352","ATL201005010",20100501,"HOU",1,31,6,0,0,0,1,0,0,0,4,0,4,1,2,0,0,7,4,7,7,0,0,24,11,2,0,2,0
"367","ATL201005020",20100502,"HOU",1,36,9,2,0,0,1,0,0,0,1,0,7,0,0,1,0,9,4,7,7,1,0,24,5,0,0,1,0
"523","ATL201005140",20100514,"ARI",5,36,9,5,0,0,5,1,0,0,4,0,13,2,0,0,0,9,4,6,6,0,0,25,11,0,0,1,0
"537","ATL201005150",20100515,"ARI",11,40,13,3,1,3,11,0,0,0,3,0,13,2,0,0,0,5,2,1,1,0,0,27,8,0,0,1,0
