"","GAME_ID","Team","Date","Score","AtB","1B","2B","3B","Hr","RBI","SH","SF","HP","W","IW","SO","SB","CS","GDP","AFCI","LB","PU","IER","TER","WP","B","PO","A","E","PB","DP","TP","PITCH_ID","PITCH_INN_CT","PITCH_OUTS","STRIKEOUTS"
"67","ANA201006230","ANA",20100623,2,27,4,2,0,0,2,1,0,0,3,0,8,0,0,2,0,5,3,1,1,0,0,27,11,1,0,0,0,"ely-j001","7","21","6"
"68","ANA201006230","LAN",20100623,1,34,8,1,0,0,1,0,0,0,2,0,7,0,0,0,0,8,2,1,1,0,0,24,12,2,0,2,0,"pinej001","8","22","5"
"69","ANA201006240","ANA",20100624,6,35,12,2,0,1,6,0,0,0,6,0,10,0,3,0,0,8,5,9,9,1,0,27,6,1,0,0,0,"haegc001","5","14","4"
"70","ANA201006240","LAN",20100624,10,41,15,3,0,0,10,0,1,1,4,1,7,0,1,0,0,10,7,6,6,1,0,27,14,0,0,0,0,"kazms001","4","11","2"
"71","ANA201006250","ANA",20100625,3,38,8,2,0,0,3,1,1,0,3,0,5,1,0,1,0,7,6,4,4,1,0,33,5,1,1,0,0,"franj003","7","19","3"
"72","ANA201006250","COL",20100625,4,43,10,1,0,1,4,0,0,0,4,1,16,2,0,0,0,10,5,3,3,0,0,33,17,0,0,1,0,"weavj003","7","21","11"
"73","ANA201006260","ANA",20100626,4,28,4,0,0,1,4,0,0,0,1,0,3,0,0,1,0,1,3,2,2,0,0,27,9,0,0,1,0,"cooka002","8","24","3"
"74","ANA201006260","COL",20100626,2,30,5,1,0,1,2,0,0,0,3,0,9,0,1,0,0,4,1,3,3,0,0,24,15,1,0,1,0,"saunj001","7","21","8"
"75","ANA201006270","ANA",20100627,10,33,9,1,1,2,9,0,0,0,5,1,13,0,0,1,0,4,4,3,3,0,0,27,6,0,0,0,0,"chacj001","6","18","12"
"76","ANA201006270","COL",20100627,3,35,10,2,0,1,3,0,0,0,1,0,8,0,1,0,0,6,3,7,7,0,0,24,5,2,0,1,0,"sante001","7","20","7"
"77","ANA201006290","ANA",20100629,6,34,11,1,0,1,6,0,0,0,5,1,3,2,0,0,0,9,4,5,5,0,0,27,9,1,0,0,0,"felds001","6","17","2"
"78","ANA201006290","TEX",20100629,5,37,12,0,0,2,5,0,1,0,2,0,6,3,1,0,1,9,4,6,6,1,0,24,6,0,0,0,0,"pinej001","6","18","4"
"79","ANA201006300","ANA",20100630,4,33,8,1,0,1,4,1,0,2,4,0,8,4,0,0,0,9,3,6,6,0,0,27,10,1,0,2,0,"belto001","4","12","6"
"80","ANA201006300","TEX",20100630,6,35,9,3,0,2,6,0,0,1,2,1,4,0,0,2,0,5,4,4,4,1,0,27,8,0,0,0,0,"kazms001","5","14","4"
"81","ANA201007010","ANA",20100701,2,28,6,2,0,0,2,0,0,0,4,0,5,0,2,0,0,6,3,1,1,0,0,27,6,1,0,0,0,"wilsc004","6","17","4"
"82","ANA201007010","TEX",20100701,1,32,4,1,0,0,1,0,0,1,3,1,7,0,0,0,0,8,4,2,2,0,0,24,9,1,0,0,0,"weavj003","7","21","6"
"83","ANA201007020","ANA",20100702,1,37,9,0,0,0,1,0,0,0,4,0,4,2,0,1,0,10,3,2,2,0,0,30,11,0,0,1,0,"davik002","8","23","3"
"84","ANA201007020","KCA",20100702,2,37,9,2,0,0,2,1,0,0,3,1,5,1,0,0,0,9,4,1,1,0,0,30,17,1,0,1,0,"saunj001","9","24","4"
"85","ANA201007030","ANA",20100703,2,29,4,0,0,1,2,1,1,0,2,1,5,0,0,0,0,4,2,4,4,1,0,27,7,0,0,0,0,"chenb001","8","22","3"
"86","ANA201007030","KCA",20100703,4,33,7,0,0,0,3,1,0,2,3,0,4,1,0,0,0,8,3,2,2,0,0,27,12,0,0,0,0,"sante001","9","25","4"
"87","ANA201007040","ANA",20100704,11,35,14,0,0,3,11,0,2,1,3,0,4,0,0,1,0,6,3,0,0,0,0,27,16,1,0,2,0,"lerea001","6","15","3"
"88","ANA201007040","KCA",20100704,0,34,8,1,0,0,0,0,0,0,4,0,4,0,0,2,0,11,4,11,11,0,0,24,10,1,0,1,0,"pinej001","7","21","3"
"89","ANA201007150","ANA",20100715,8,38,16,4,0,0,8,0,0,0,2,0,3,0,0,1,0,8,3,3,3,0,0,27,9,1,0,0,0,"fistd001","6","17","2"
"90","ANA201007150","SEA",20100715,3,34,7,3,0,0,3,0,0,0,2,0,6,0,0,0,0,6,4,8,8,0,0,24,13,0,0,1,0,"pinej001","7","21","4"
"91","ANA201007160","ANA",20100716,3,31,10,4,0,0,2,0,0,1,0,0,3,1,0,2,0,5,3,2,2,1,0,27,9,0,0,0,0,"hernf002","8","24","3"
"92","ANA201007160","SEA",20100716,2,32,7,0,0,1,2,0,0,0,0,0,6,1,2,0,0,3,1,3,3,0,0,24,11,1,0,2,0,"weavj003","7","21","5"
"93","ANA201007170","ANA",20100717,7,34,10,2,0,2,6,2,0,1,1,0,5,1,0,0,0,7,4,5,5,0,0,27,17,1,0,3,0,"rowlr002","4","10","2"
"94","ANA201007170","SEA",20100717,6,35,12,4,0,2,5,0,0,0,1,0,6,0,1,3,0,3,4,6,6,0,0,24,15,3,0,0,0,"saunj001","6","18","3"
"95","ANA201007180","ANA",20100718,1,35,6,0,1,1,1,1,0,0,2,0,12,0,0,0,0,7,4,2,2,2,0,30,11,0,0,0,0,"vargj001","8","23","9"
"96","ANA201007180","SEA",20100718,2,34,5,0,0,0,1,1,0,0,6,1,11,3,0,0,0,9,3,1,1,0,1,30,6,1,0,1,0,"sante001","7","21","7"
"97","ANA201007260","ANA",20100726,3,35,8,0,0,2,3,0,0,1,1,0,8,0,0,0,0,7,6,6,6,1,0,27,9,0,0,0,0,"buchc001","7","21","7"
"98","ANA201007260","BOS",20100726,6,37,11,2,1,2,6,0,0,1,1,0,10,1,0,0,0,6,3,3,3,1,0,27,10,0,0,0,0,"hared001","5","14","8"
"99","ANA201007270","ANA",20100727,2,33,7,2,0,1,2,1,0,0,2,0,5,1,0,0,0,7,3,4,4,0,0,27,4,1,0,0,0,"lackj001","8","22","4"
"100","ANA201007270","BOS",20100727,4,37,9,5,0,0,3,0,0,0,5,1,10,0,0,0,0,11,3,2,2,0,0,27,15,1,0,0,0,"weavj003","7","21","8"
"101","ANA201007280","ANA",20100728,3,31,6,3,0,0,3,1,1,0,2,0,9,0,0,0,0,5,5,7,7,2,0,27,3,0,0,0,0,"beckj002","7","21","5"
"102","ANA201007280","BOS",20100728,7,38,12,1,1,4,7,1,0,0,8,0,12,0,0,0,0,13,3,3,3,0,0,27,6,0,0,0,0,"shies002","2","5","2"
"103","ANA201007300","ANA",20100730,9,34,10,2,0,2,9,0,1,0,3,1,7,0,0,0,0,5,4,4,4,1,1,27,8,1,0,0,0,"huntt002","4","9","1"
"104","ANA201007300","TEX",20100730,7,40,12,2,0,1,7,0,0,0,2,0,5,3,0,0,0,8,4,9,9,0,0,24,12,1,0,0,0,"sante001","6","18","4"
"105","ANA201007310","ANA",20100731,1,32,5,1,0,1,1,0,0,1,2,0,5,0,0,1,0,7,1,2,2,1,0,27,8,0,0,0,0,"hardr001","7","21","3"
"106","ANA201007310","TEX",20100731,2,31,5,0,0,1,2,0,0,1,2,0,6,1,1,0,0,5,3,1,1,1,0,27,15,1,0,1,0,"hared001","9","27","6"
"107","ANA201008010","ANA",20100801,4,29,9,1,0,0,4,1,1,1,2,1,4,0,0,0,0,6,3,0,0,0,0,27,6,1,0,0,0,"lee-c003","8","24","4"
"108","ANA201008010","TEX",20100801,1,33,5,1,0,0,1,0,0,0,4,0,8,2,0,0,0,9,1,4,4,0,0,24,9,0,0,0,0,"weavj003","7","21","7"
"109","ANA201008090","ANA",20100809,6,35,11,1,0,1,5,0,0,0,2,0,7,2,0,0,0,7,4,4,4,0,0,27,8,0,0,1,0,"osuls001","7","19","6"
"110","ANA201008090","KCA",20100809,4,34,10,2,0,1,4,1,0,0,2,0,4,0,1,1,0,6,3,6,6,0,1,24,7,0,0,0,0,"sante001","7","19","3"
"111","ANA201008100","ANA",20100810,3,28,7,3,1,0,3,1,1,0,2,1,5,0,1,0,0,5,3,1,1,1,0,27,6,0,0,0,0,"bullb001","6","18","4"
"112","ANA201008100","KCA",20100810,1,31,5,0,0,0,1,0,1,0,2,0,3,0,0,0,0,6,2,3,3,0,0,24,11,0,0,0,0,"hared001","7","21","3"
"113","ANA201008110","ANA",20100811,2,33,8,0,0,1,2,0,1,1,2,1,7,1,1,1,0,7,3,1,1,0,0,30,4,1,0,0,0,"greiz001","8","24","6"
"114","ANA201008110","KCA",20100811,1,38,7,0,0,1,1,0,0,0,2,0,14,1,0,0,0,9,3,2,2,0,0,28,9,0,0,1,0,"weavj003","8","24","11"
"115","ANA201008130","ANA",20100813,0,30,3,1,0,0,0,0,0,2,0,0,8,1,0,0,0,5,4,3,3,1,0,27,5,1,0,1,0,"rzepm001","7","21","6"
"116","ANA201008130","TOR",20100813,3,33,7,1,1,0,3,0,1,0,5,0,7,0,0,1,0,9,3,0,0,1,0,27,15,0,0,0,0,"kazms001","6","18","3"
"117","ANA201008140","ANA",20100814,7,34,12,2,0,3,7,0,0,0,2,0,2,0,0,2,0,5,3,2,2,0,0,27,8,0,0,0,0,"cecib001","6","17","1"
"118","ANA201008140","TOR",20100814,2,30,4,2,0,1,2,1,0,1,4,0,5,1,0,0,0,7,3,7,7,0,0,24,14,0,0,2,0,"sante001","7","21","4"
"119","ANA201008150","ANA",20100815,1,32,7,0,0,1,1,0,0,0,4,0,7,0,1,2,0,8,3,4,4,0,0,27,7,0,0,1,0,"romer002","7","21","4"
"120","ANA201008150","TOR",20100815,4,34,9,0,0,1,4,0,1,0,5,0,5,0,0,1,0,9,3,1,1,0,0,27,14,1,0,2,0,"hared001","7","21","5"
"121","ANA201008230","ANA",20100823,3,34,8,3,0,0,3,0,1,0,1,0,13,1,0,1,0,6,5,3,3,1,0,27,5,1,0,0,0,"shiej002","7","18","10"
"122","ANA201008230","TBA",20100823,4,33,6,2,0,1,4,0,0,1,5,0,8,0,0,0,0,8,5,2,2,1,0,27,9,1,0,1,0,"kazms001","6","16","4"
"123","ANA201008240","ANA",20100824,3,36,10,3,0,1,3,0,0,2,4,0,6,0,0,1,0,12,5,9,9,0,1,27,10,1,0,1,0,"daviw001","6","16","5"
"124","ANA201008240","TBA",20100824,10,35,13,4,0,2,10,1,2,0,5,0,8,2,2,0,0,6,5,3,3,0,0,27,11,0,0,1,0,"sante001","6","16","6"
"125","ANA201008250","ANA",20100825,12,40,17,4,0,1,12,1,0,2,5,0,5,1,0,0,0,12,5,3,3,0,0,27,6,0,1,0,0,"niemj001","4","10","2"
"126","ANA201008250","TBA",20100825,3,34,7,2,0,1,3,0,0,0,5,0,9,0,0,0,0,9,3,12,12,2,0,24,7,0,0,0,0,"hared001","6","18","8"
"127","ANA201008270","ANA",20100827,1,31,5,1,0,0,0,0,0,0,0,0,4,0,0,0,0,3,3,3,3,0,0,27,12,0,0,3,0,"bergb002","8","24","4"
"128","ANA201008270","BAL",20100827,3,31,8,2,0,0,3,1,0,0,1,0,5,1,0,3,0,3,2,1,1,1,2,27,12,0,0,1,0,"bellt002","7","21","3"
"129","ANA201008280","ANA",20100828,0,32,7,3,0,0,0,0,0,0,1,0,5,0,0,1,0,6,4,5,5,2,0,27,11,2,0,1,0,"millk004","8","24","5"
"130","ANA201008280","BAL",20100828,5,36,9,1,0,1,5,0,0,0,3,0,5,2,1,1,0,7,2,0,0,0,0,27,9,0,0,2,0,"kazms001","6","17","3"
"131","ANA201008290","ANA",20100829,0,29,4,1,0,0,0,1,0,0,1,0,6,0,0,1,0,4,2,1,1,2,0,27,11,1,0,0,0,"guthj001","9","25","5"
"132","ANA201008290","BAL",20100829,1,30,5,1,0,0,1,0,1,0,1,0,12,0,0,0,0,4,3,0,0,0,0,27,9,0,0,1,0,"weavj003","8","24","11"
"133","ANA201009060","ANA",20100906,2,33,7,2,1,1,2,0,0,0,3,0,11,1,1,0,0,7,3,3,3,1,0,27,9,1,0,0,0,"carrc003","6","18","6"
"134","ANA201009060","CLE",20100906,3,32,7,3,0,0,3,0,1,2,5,0,7,1,0,0,0,10,5,2,2,0,0,27,10,0,0,0,0,"hared001","7","21","6"
"135","ANA201009070","ANA",20100907,1,30,7,0,0,1,1,0,0,0,3,0,7,0,2,2,0,5,6,6,6,0,0,27,6,2,0,1,0,"mastj001","7","21","5"
"136","ANA201009070","CLE",20100907,6,33,8,1,0,2,6,0,1,0,8,0,7,1,0,1,0,9,3,1,1,0,0,27,11,0,0,2,0,"bellt002","6","16","4"
"137","ANA201009080","ANA",20100908,4,49,6,2,0,2,4,1,1,1,8,2,10,1,0,0,0,9,8,3,3,2,0,48,22,2,0,2,0,"tomlj001","6","18","4"
"138","ANA201009080","CLE",20100908,3,59,14,1,0,1,3,1,0,0,7,1,15,0,1,2,0,16,8,4,4,0,0,47,11,0,0,1,0,"kazms001","6","18","6"
"139","ANA201009100","ANA",20100910,4,43,9,1,0,1,4,3,1,1,8,2,7,0,0,3,0,12,6,3,3,0,0,42,11,3,0,0,0,"pauld001","7","20","3"
"140","ANA201009100","SEA",20100910,3,50,8,2,0,0,2,0,0,0,1,0,12,1,0,0,0,6,5,4,4,2,0,40,24,1,0,3,0,"weavj003","8","24","6"
"141","ANA201009110","ANA",20100911,7,32,7,1,0,1,7,0,0,0,3,0,7,2,0,0,0,4,4,4,4,1,0,27,7,0,0,0,0,"hernf002","7","19","5"
"142","ANA201009110","SEA",20100911,4,35,8,1,1,1,4,0,0,0,2,0,7,0,0,0,0,6,2,4,4,0,0,24,13,2,0,1,0,"sante001","8","22","5"
"143","ANA201009120","ANA",20100912,3,31,8,2,0,1,3,0,0,0,1,0,5,0,0,0,1,6,3,0,0,1,0,27,9,1,0,0,0,"vargj001","7","21","4"
"144","ANA201009120","SEA",20100912,0,31,4,0,0,0,0,0,0,0,5,0,9,1,1,0,0,9,2,2,2,0,0,24,10,1,0,0,0,"hared001","7","21","6"
"145","ANA201009200","ANA",20100920,7,35,11,3,0,0,7,0,0,2,4,0,5,3,0,0,0,10,4,4,4,0,0,27,12,0,0,1,0,"holld003","4","11","1"
"146","ANA201009200","TEX",20100920,4,39,13,1,0,1,4,0,0,1,3,0,5,0,0,1,0,12,6,6,6,0,0,24,8,1,1,0,0,"weavj003","7","20","2"
"147","ANA201009210","ANA",20100921,2,29,4,1,1,0,2,0,0,0,2,0,12,0,0,1,0,5,1,0,0,0,0,27,10,0,0,1,0,"lewic001","7","21","10"
"148","ANA201009210","TEX",20100921,0,30,5,0,0,0,0,1,0,0,1,0,8,1,0,1,0,5,2,2,2,1,0,24,6,1,0,1,0,"sante001","9","27","8"
"149","ANA201009220","ANA",20100922,1,40,8,0,0,1,1,1,0,0,3,0,6,0,0,3,0,7,6,0,0,0,0,36,21,1,1,0,0,"wilsc004","7","18","5"
"150","ANA201009220","TEX",20100922,2,40,5,2,0,0,1,1,1,0,4,1,7,1,0,0,0,8,6,1,1,0,0,36,18,0,0,3,0,"hared001","7","21","2"
"151","ANA201009240","ANA",20100924,1,33,6,1,1,0,1,0,0,0,2,1,11,4,1,1,0,7,2,2,2,0,0,27,19,2,0,2,0,"garcf002","6","18","5"
"152","ANA201009240","CHA",20100924,2,30,6,0,0,1,2,0,0,0,1,0,2,2,0,1,0,2,4,1,1,1,0,27,9,2,0,1,0,"pinej001","8","24","2"
