"","Date","Team","Score","AtB","1B","2B","3B","Hr","RBI","SH","SF","HP","W","IW","SO","SB","CS","GDP","AFCI","LB","PU","IER","TER","WP","B","PO","A","E","PB","DP","TP"
"81",20130407,"ANA",3,35,10,2,0,0,2,0,0,1,4,0,10,0,0,2,0,10,4,7,7,1,0,24,7,0,1,1,0
"82",20130407,"BOS",13,41,15,4,0,6,13,0,1,0,4,0,9,2,0,0,0,6,2,0,0,0,0,27,9,0,0,0,0
"83",20130407,"CHN",1,33,5,1,0,0,1,0,0,0,2,0,11,0,0,0,0,7,4,5,5,2,0,24,7,1,0,1,0
"84",20130407,"WAS",3,34,8,4,0,1,3,0,0,0,3,0,10,0,0,1,0,7,3,6,6,0,0,24,10,1,0,0,0
"85",20130407,"SDN",1,34,9,2,0,0,1,1,0,0,0,0,3,0,0,1,0,7,3,9,9,2,0,24,11,1,0,1,0
"86",20130407,"PIT",2,31,4,0,0,1,2,0,0,0,3,0,8,0,0,0,0,5,3,6,6,0,0,24,9,0,0,1,0
"87",20130407,"ARI",8,43,14,3,0,2,8,1,1,0,3,0,9,0,1,0,0,7,6,7,7,1,0,33,9,0,0,2,0
"88",20130407,"MIA",3,36,13,4,0,0,3,1,0,1,4,0,10,0,0,2,0,12,5,4,4,0,0,25,2,0,0,0,0
"89",20130407,"KCA",9,37,13,4,0,1,9,0,0,0,7,0,6,2,1,2,0,8,5,8,8,1,0,27,6,0,0,0,0
"90",20130407,"SLN",14,41,15,2,1,0,14,0,2,1,3,0,9,0,0,0,0,6,3,3,3,0,0,27,15,0,0,1,0
"91",20130408,"BAL",1,31,5,1,0,1,1,0,0,0,4,0,11,0,0,1,0,7,2,3,3,0,0,24,9,0,0,1,0
"92",20130408,"NYA",11,38,13,2,0,3,9,0,1,0,4,0,7,2,1,0,0,5,4,6,6,2,0,27,8,0,0,1,0
"93",20130408,"MIN",1,32,8,0,0,0,1,0,0,1,2,0,8,0,1,1,0,7,3,3,3,1,0,24,17,0,1,2,0
